编号,性别 男1女0,籍贯,身高(cm),体重(kg),鞋码,50米成绩,肺活量,喜欢颜色,喜欢运动,喜欢文学
63,1,四川,167.0,70.0,37.0,8,3100,红,1.0,0.0
575,1,江西,178.0,70.0,43.0,7.8,4222,蓝,1.0,0.0
299,1,江西,175.0,60.0,41.0,8.1,3500,蓝,1.0,0.0
642,0,四川,160.0,46.0,36.0,10,2400,紫,1.0,1.0
91,1,四川,176.0,58.0,42.0,7,3200,灰,1.0,0.0
347,1,四川巴中,163.0,75.0,42.0,10.5,4300,蓝,0.0,0.0
306,0,陕西,163.0,49.0,37.0,8.9,3700,黄,1.0,1.0
816,0,吉林,168.0,52.0,38.5,9,2800,绿,1.0,1.0
478,0,重庆,165.0,49.0,39.0,7.2,3100,白,1.0,1.0
244,1,山西,178.0,80.0,42.0,8,4000,蓝,1.0,0.0
805,1,山西,173.0,55.0,41.0,7.9,4200,蓝,1.0,0.0
387,1,山西太原,180.0,66.0,42.0,6.4,4000,黑，蓝,1.0,0.0
