Training_ID,Kernel,Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
102,poly,0.95,0.9764868603042877,0.9232914923291492,0.9903316222696767,706,55,662,17
102,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9948031505176594,697,17,700,26
103,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931846810612068,696,18,699,27
103,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904898040282335,706,55,662,17
103,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947626405551023,697,17,700,26
104,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931731067861904,696,18,699,27
104,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904994492574137,706,55,662,17
104,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9946989820425125,697,17,700,26
105,linear,0.96875,0.9626556016597511,0.9748953974895398,0.99316346155701,696,18,699,27
105,poly,0.95,0.9764868603042877,0.9232914923291492,0.9903460901134472,706,55,662,17
105,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947240596383811,697,17,700,26
106,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931383839611412,696,18,699,27
106,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904820878448893,706,55,662,17
106,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947202015467088,697,17,700,26
107,linear,0.96875,0.9626556016597511,0.9748953974895398,0.993093051383994,696,18,699,27
107,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904685845240369,706,55,662,17
107,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947144144092008,697,17,700,26
108,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9932560557571409,696,18,699,27
108,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904550812031844,706,55,662,17
108,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947645696009383,697,17,700,26
109,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9932078296112394,696,18,699,27
109,poly,0.95,0.9764868603042877,0.9232914923291492,0.9903615224801356,706,55,662,17
109,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947452791425777,697,17,700,26
110,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9932136167487475,696,18,699,27
110,poly,0.95,0.9764868603042877,0.9232914923291492,0.9903894936447584,706,55,662,17
110,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9946739044466436,697,17,700,26
111,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931634615570101,696,18,699,27
111,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904791942761353,706,55,662,17
111,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947935052884791,697,17,700,26
112,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931769648778626,696,18,699,27
